City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bone,51.9669,12.1396,34.9,89,100,9.4,DE,1670171499
1,ushuaia,-54.8,-68.3,55.06,44,40,13.8,AR,1670171499
2,okha,53.5739,142.9478,-2.7,92,60,23.31,RU,1670171500
3,dikson,73.5069,80.5464,30.49,93,100,22.03,RU,1670171500
4,xambioa,-6.4111,-48.5364,80.51,83,96,4.7,BR,1670171501
5,nanortalik,60.1432,-45.2371,24.84,69,0,6.4,GL,1670171501
6,nagua,19.3832,-69.8474,82.71,83,40,6.91,DO,1670171501
7,saint anthony,45.0205,-93.218,26.83,72,0,11.5,US,1670171502
8,punta arenas,-53.15,-70.9167,55.51,47,40,33.38,CL,1670171502
9,isla del bosque,22.7333,-105.85,80.2,59,60,2.44,MX,1670171503
10,hermanus,-34.4187,19.2345,65.8,64,11,12.19,ZA,1670171353
11,fairbanks,64.8378,-147.7164,24.76,88,20,9.22,US,1670171400
12,lebu,-37.6167,-73.65,62.85,66,13,14.9,CL,1670171503
13,narsaq,60.9167,-46.05,12.42,64,3,8.14,GL,1670171504
14,charters towers,-20.1,146.2667,69.78,76,0,6.73,AU,1670171504
15,alyangula,-13.8483,136.4192,83.53,68,70,13.4,AU,1670171505
16,tasiilaq,65.6145,-37.6368,24.96,71,22,4.99,GL,1670171505
17,mataura,-46.1927,168.8643,50.49,98,100,3.85,NZ,1670171506
18,tuktoyaktuk,69.4541,-133.0374,-13.0,84,40,3.44,CA,1670171506
19,ambon,-3.6954,128.1814,77.23,15,20,5.75,ID,1670171507
20,hilo,19.7297,-155.09,74.28,80,100,5.75,US,1670171507
21,norman wells,65.282,-126.8329,1.44,78,20,11.5,CA,1670171507
22,ogori,34.1,131.4,51.76,79,88,6.42,JP,1670171508
23,thinadhoo,0.5333,72.9333,81.68,68,100,5.77,MV,1670171410
24,chuy,-33.6971,-53.4616,78.85,62,57,9.1,UY,1670171508
25,nhulunbuy,-12.2333,136.7667,79.41,83,84,0.0,AU,1670171509
26,cape town,-33.9258,18.4232,68.27,63,20,27.63,ZA,1670171284
27,yellowknife,62.456,-114.3525,-1.68,65,100,19.57,CA,1670171509
28,busselton,-33.65,115.3333,56.59,80,4,14.07,AU,1670171510
29,hithadhoo,-0.6,73.0833,81.79,75,100,8.25,MV,1670171511
30,evensk,61.95,159.2333,6.87,90,100,9.73,RU,1670171511
31,constantine,36.365,6.6147,62.01,39,0,11.5,DZ,1670171512
32,bredasdorp,-34.5322,20.0403,63.7,60,55,11.7,ZA,1670171512
33,anadyr,64.75,177.4833,16.3,92,75,22.37,RU,1670171512
34,fortuna,40.5982,-124.1573,46.92,94,100,14.97,US,1670171513
35,san cristobal,7.7669,-72.225,69.98,49,37,5.19,VE,1670171513
36,vaini,-21.2,-175.2,77.16,94,75,3.44,TO,1670171514
37,port alfred,-33.5906,26.891,66.18,87,99,3.0,ZA,1670171460
38,port elizabeth,-33.918,25.5701,63.32,87,100,6.91,ZA,1670171514
39,boyolangu,-8.1181,111.8935,76.33,90,100,2.33,ID,1670171515
40,whitehorse,60.7161,-135.0538,21.97,79,100,6.91,CA,1670171515
41,capao bonito,-24.0058,-48.3494,69.98,94,100,4.5,BR,1670171516
42,arraial do cabo,-22.9661,-42.0278,80.46,69,75,21.85,BR,1670171312
